Part Number,Month of Price Date,Volume Weighted Price,Volume
779351-01,22-Jun,486,513
779351-01,22-Jul,480,359
779351-01,22-Aug,515,357
779351-01,22-Sep,511,317
779351-01,22-Oct,498,598
779351-01,22-Nov,503,295
779351-01,22-Dec,512,534
779357-01,21-Feb,1175,559
779357-01,21-Mar,1172,408
779357-01,21-Apr,1163,542
779357-01,21-May,1159,433
779357-01,21-Jun,1169,382
779357-01,21-Jul,1169,354
779357-01,21-Aug,1157,467
779357-01,21-Sep,1154,534
779357-01,21-Oct,1210,348
779357-01,21-Nov,1206,487
779357-01,21-Dec,1204,599
779357-01,22-Jan,1199,242
779357-01,22-Feb,1374,387
779357-01,22-Mar,1374,335
779357-01,22-Apr,1369,359
779357-01,22-May,1339,424
779357-01,22-Jun,1338,540
779357-01,22-Jul,1325,256
779357-01,22-Aug,1425,339
779357-01,22-Sep,1414,966
779357-01,22-Oct,1377,328
779357-01,22-Nov,1393,199
779357-01,22-Dec,1416,469
779516-01,21-Feb,789,98
779516-01,21-Mar,787,180
779516-01,21-Apr,781,192
779516-01,21-May,778,183
779516-01,21-Jun,784,127
779516-01,21-Jul,785,220
779516-01,21-Aug,775,127
779516-01,21-Sep,774,247
779516-01,21-Oct,814,120
779516-01,21-Nov,810,154
779516-01,21-Dec,809,189
779516-01,22-Jan,805,93
779516-01,22-Feb,923,143
779516-01,22-Mar,923,113
779516-01,22-Apr,920,120
779516-01,22-May,898,113
779516-01,22-Jun,897,238
779516-01,22-Jul,889,120
779516-01,22-Aug,952,292
779516-01,22-Sep,945,119
779516-01,22-Oct,920,120
779516-01,22-Nov,931,99
779516-01,22-Dec,946,240
779526-01,21-Feb,1846,23
779526-01,21-Mar,1842,57
779526-01,21-Apr,1829,31
779526-01,21-May,1823,20
779526-01,21-Aug,1820,144
779526-01,21-Sep,1815,79
779526-01,21-Oct,1906,24
779526-01,21-Dec,1900,21
779526-01,22-Feb,2165,34
779526-01,22-Mar,2166,25
779526-01,22-Jun,2117,83
779526-01,22-Jul,2102,115
779526-01,22-Aug,2246,51
779526-01,22-Oct,2173,29
779526-01,22-Dec,2224,50
779600-01,21-Feb,519,189
779600-01,21-Mar,517,158
779600-01,21-Apr,513,120
779600-01,21-May,512,182
779600-01,21-Jun,516,372
779600-01,21-Jul,516,256
779600-01,21-Aug,510,208
779600-01,21-Sep,509,185
779600-01,21-Oct,536,284
779600-01,21-Nov,534,111
779600-01,21-Dec,532,164
779600-01,22-Jan,530,128
779600-01,22-Feb,608,183
779600-01,22-Mar,608,158
779600-01,22-Apr,606,179
779600-01,22-May,591,141
779600-01,22-Jun,591,222
779600-01,22-Jul,585,142
779600-01,22-Aug,626,184
779600-01,22-Sep,621,150
779600-01,22-Oct,605,136
779600-01,22-Nov,612,140
779600-01,22-Dec,622,515
779640-01,21-Feb,419,184
779640-01,21-Mar,418,199
779640-01,21-Apr,414,249
779640-01,21-May,413,210
779640-01,21-Jun,417,179
779640-01,21-Jul,418,296
779640-01,21-Aug,413,257
779640-01,21-Sep,411,207
779640-01,21-Oct,423,207
779640-01,21-Nov,420,231
779640-01,21-Dec,419,336
779640-01,22-Jan,416,261
779640-01,22-Feb,465,283
779640-01,22-Mar,466,323
779640-01,22-Apr,463,290
779640-01,22-May,454,294
779640-01,22-Jun,454,496
779640-01,22-Jul,451,217
779640-01,22-Aug,462,804
779640-01,22-Sep,458,136
779640-01,22-Oct,446,123
779640-01,22-Nov,451,95
779640-01,22-Dec,459,72
780534-01,21-Feb,39,88
780534-01,21-Mar,39,104
780534-01,21-Apr,39,101
780534-01,21-May,39,68
780534-01,21-Jun,39,91
780534-01,21-Jul,39,73
780534-01,21-Aug,39,94
780534-01,21-Sep,39,77
780534-01,21-Oct,40,93
780534-01,21-Nov,40,104
780534-01,21-Dec,40,107
780534-01,22-Jan,39,71
780534-01,22-Feb,45,94
780534-01,22-Mar,45,75
780534-01,22-Apr,44,81
780534-01,22-May,43,104
780534-01,22-Jun,43,65
780534-01,22-Jul,43,81
780534-01,22-Aug,45,83
780534-01,22-Sep,44,66
780534-01,22-Oct,43,42
780534-01,22-Nov,44,56
780534-01,22-Dec,44,56
781030-01,21-Feb,677,129
781030-01,21-Mar,675,104
781030-01,21-Apr,670,479
781030-01,21-May,667,353
781030-01,21-Jun,673,241
781030-01,21-Jul,674,150
781030-01,21-Aug,666,125
781030-01,21-Sep,665,195
781030-01,21-Oct,699,172
781030-01,21-Nov,697,271
781030-01,21-Dec,694,141
781030-01,22-Jan,692,182
781030-01,22-Feb,794,115
781030-01,22-Mar,794,149
781030-01,22-Apr,792,163
781030-01,22-May,772,32
781030-01,22-Jun,772,341
781030-01,22-Jul,766,202
781030-01,22-Aug,819,366
781030-01,22-Sep,812,82
781030-01,22-Oct,792,132
781030-01,22-Nov,800,136
781030-01,22-Dec,813,249
781156-01,21-Feb,1735,234
781156-01,21-Mar,1730,237
781156-01,21-Apr,1718,314
781156-01,21-May,1713,395
781156-01,21-Jun,1727,367
781156-01,21-Jul,1729,211
781156-01,21-Aug,1709,231
781156-01,21-Sep,1705,274
781156-01,21-Oct,1794,231
781156-01,21-Nov,1784,246
781156-01,21-Dec,1780,260
781156-01,22-Jan,1772,199
781156-01,22-Feb,2033,172
781156-01,22-Mar,2035,228
781156-01,22-Apr,2024,182
781156-01,22-May,1977,252
781156-01,22-Jun,1977,282
781156-01,22-Jul,1958,200
781156-01,22-Aug,2085,439
781156-01,22-Sep,2069,173
781156-01,22-Oct,2015,188
781156-01,22-Nov,2038,168
781156-01,22-Dec,2072,371
781157-01,21-Feb,1152,305
781157-01,21-Mar,1150,360
781157-01,21-Apr,1142,539
781157-01,21-May,1138,399
781157-01,21-Jun,1147,389
781157-01,21-Jul,1149,366
781157-01,21-Aug,1135,428
781157-01,21-Sep,1133,435
781157-01,21-Oct,1192,342
781157-01,21-Nov,1185,418
781157-01,21-Dec,1183,378
781157-01,22-Jan,1179,303
781157-01,22-Feb,1351,373
781157-01,22-Mar,1352,328
781157-01,22-Apr,1346,474
781157-01,22-May,1314,321
781157-01,22-Jun,1313,554
781157-01,22-Jul,1301,519
781157-01,22-Aug,1392,602
781157-01,22-Sep,1382,425
781157-01,22-Oct,1346,465
781157-01,22-Nov,1361,368
781157-01,22-Dec,1384,471
781397-01,21-Feb,1661,333
781397-01,21-Mar,1656,191
781397-01,21-Apr,1643,373
781397-01,21-May,1636,59
781397-01,21-Jun,1650,85
781397-01,21-Jul,1652,157
781397-01,21-Aug,1633,235
781397-01,21-Sep,1630,53
781397-01,21-Oct,1713,31
781397-01,21-Nov,1706,39
781397-01,21-Dec,1702,69
781397-01,22-Jan,1696,796
781397-01,22-Feb,1944,52
781397-01,22-Mar,1944,27
781397-01,22-Apr,1939,60
781397-01,22-Jun,1893,39
781397-01,22-Jul,1872,201
781397-01,22-Aug,2005,44
781397-01,22-Sep,1992,36
781397-01,22-Nov,1957,48
781397-01,22-Dec,1994,130
781425-01,21-Feb,404,633
781425-01,21-Mar,404,540
781425-01,21-Apr,401,823
781425-01,21-May,400,479
781425-01,21-Jun,403,558
781425-01,21-Jul,404,464
781425-01,21-Aug,400,922
781425-01,21-Sep,398,548
781425-01,21-Oct,419,462
781425-01,21-Nov,417,507
781425-01,21-Dec,416,498
781425-01,22-Jan,414,1182
781425-01,22-Feb,476,405
781425-01,22-Mar,476,389
781425-01,22-Apr,474,455
781425-01,22-May,463,503
781425-01,22-Jun,463,562
781425-01,22-Jul,458,709
781425-01,22-Aug,488,707
781425-01,22-Sep,483,374
781425-01,22-Oct,471,439
781425-01,22-Nov,476,421
781425-01,22-Dec,484,799
781503-01,21-Feb,200,553
781503-01,21-Mar,199,571
781503-01,21-Apr,198,543
781503-01,21-May,197,774
781503-01,21-Jun,198,714
781503-01,21-Jul,199,880
781503-01,21-Aug,196,1135
781503-01,21-Sep,196,1134
781503-01,21-Oct,206,709
781503-01,21-Nov,205,1800
781503-01,21-Dec,205,559
781503-01,22-Jan,204,629
781503-01,22-Feb,234,678
781503-01,22-Mar,234,729
781503-01,22-Apr,234,1548
781503-01,22-Jun,228,661
781503-01,22-Jul,226,663
781503-01,22-Aug,243,530
781503-01,22-Sep,241,420
781503-01,22-Oct,236,489
781503-01,22-Nov,238,670
781503-01,22-Dec,242,966
781510-01,21-Feb,2173,106
781510-01,21-Mar,2168,128
781510-01,21-Apr,2151,112
781510-01,21-May,2143,116
781510-01,21-Jun,2160,162
781510-01,21-Jul,2163,82
781510-01,21-Aug,2138,115
781510-01,21-Sep,2134,171
781510-01,21-Oct,2241,157
781510-01,21-Nov,2234,156
781510-01,21-Dec,2227,106
781510-01,22-Jan,2219,103
781510-01,22-Feb,2541,85
781510-01,22-Mar,2540,149
781510-01,22-Apr,2535,153
781510-01,22-May,2473,161
781510-01,22-Jun,2476,131
781510-01,22-Jul,2452,293
781510-01,22-Aug,2631,86
781510-01,22-Sep,2608,79
781510-01,22-Oct,2545,65
781510-01,22-Nov,2570,49
781510-01,22-Dec,2613,124
782384-01,21-Feb,9219,24
782384-01,21-Mar,9192,26
782384-01,21-Jul,9166,37
782384-01,21-Aug,9063,21
782384-01,21-Sep,9051,42
782384-01,22-Jan,9477,21
782384-01,22-Mar,10880,43
782384-01,22-May,10587,34
782384-01,22-Jun,10575,36
782384-01,22-Aug,11277,35
782384-01,22-Sep,11186,25
782384-01,22-Oct,10962,22
782384-01,22-Dec,11193,26
782536-01,21-Feb,434,558
782536-01,21-Mar,433,812
782536-01,21-Apr,429,1051
782536-01,21-May,428,767
782536-01,21-Jun,432,731
782536-01,21-Jul,432,707
782536-01,21-Aug,428,953
782536-01,21-Sep,427,1155
782536-01,21-Oct,437,871
782536-01,21-Nov,435,765
782536-01,21-Dec,433,1083
782536-01,22-Jan,430,946
782536-01,22-Feb,483,939
782536-01,22-Mar,484,988
782536-01,22-Apr,480,637
782536-01,22-May,470,908
782536-01,22-Jun,471,1268
782536-01,22-Jul,467,625
782536-01,22-Aug,478,1215
782536-01,22-Sep,473,919
782536-01,22-Oct,463,661
782536-01,22-Nov,466,608
782536-01,22-Dec,474,1229
782715-01,21-Feb,45,336
782715-01,21-Mar,45,347
782715-01,21-Apr,45,213
782715-01,21-May,45,272
782715-01,21-Jun,45,336
782715-01,21-Jul,45,286
782715-01,21-Aug,45,280
782715-01,21-Sep,45,383
782715-01,21-Oct,47,263
782715-01,21-Nov,47,732
782715-01,21-Dec,47,284
782715-01,22-Jan,47,228
782715-01,22-Feb,54,253
782715-01,22-Mar,54,382
782715-01,22-Apr,54,246
782715-01,22-May,53,173
782715-01,22-Jun,53,496
782715-01,22-Jul,52,290
782715-01,22-Aug,57,185
782715-01,22-Sep,57,186
782715-01,22-Oct,55,278
782715-01,22-Nov,56,291
782715-01,22-Dec,57,259
783130-01,21-Feb,4888,144
783130-01,21-Mar,4875,132
783130-01,21-Apr,4838,353
783130-01,21-May,4818,160
783130-01,21-Jun,4858,166
783130-01,21-Jul,4864,208
783130-01,21-Aug,4808,88
783130-01,21-Sep,4799,220
783130-01,21-Oct,5082,211
783130-01,21-Nov,5065,85
783130-01,21-Dec,5054,151
783130-01,22-Jan,5027,184
783130-01,22-Feb,5763,93
783130-01,22-Mar,5761,270
783130-01,22-Apr,5745,356
783130-01,22-May,5612,190
783130-01,22-Jun,5613,208
783130-01,22-Jul,5559,165
783130-01,22-Aug,5971,92
783130-01,22-Sep,5929,205
783130-01,22-Oct,5784,93
783130-01,22-Nov,5836,108
783130-01,22-Dec,5932,218
783196-01,21-Feb,410,40
783196-01,21-Apr,406,26
783196-01,21-May,404,24
783196-01,21-Jun,408,27
783196-01,21-Jul,408,44
783196-01,21-Aug,404,40
783196-01,21-Sep,403,36
783196-01,21-Oct,427,27
783196-01,21-Nov,425,60
783196-01,22-Jan,422,23
783196-01,22-Mar,485,38
783196-01,22-Apr,483,46
783196-01,22-Jun,471,337
783196-01,22-Jul,466,25
783196-01,22-Aug,502,141
783196-01,22-Nov,489,43
783731-01,21-Feb,789,109
783731-01,21-Mar,787,123
783731-01,21-Apr,781,78
783731-01,21-May,779,70
783731-01,21-Jun,784,139
783731-01,21-Jul,785,105
783731-01,21-Aug,776,122
783731-01,21-Sep,775,154
783731-01,21-Oct,814,125
783731-01,21-Nov,811,112
783731-01,21-Dec,809,130
783731-01,22-Jan,806,99
783731-01,22-Feb,923,157
783731-01,22-Mar,923,94
783731-01,22-Apr,920,78
783731-01,22-May,898,182
783731-01,22-Jun,897,161
783731-01,22-Jul,889,163
783731-01,22-Aug,952,302
783731-01,22-Sep,945,62
783731-01,22-Oct,920,73
783731-01,22-Nov,930,68
783731-01,22-Dec,946,61
783850-01,21-Feb,8350,43
783850-01,21-Jul,8294,45
783850-01,21-Aug,8205,26
783850-01,21-Sep,8195,20
783850-01,21-Nov,8569,21
784584-35,21-May,2501,112
784584-35,21-Jun,2521,31
784584-35,21-Dec,2643,33
784584-35,22-Jan,2868,88
784584-35,22-Feb,3088,203
784584-35,22-Mar,3091,351
784584-35,22-Apr,3080,264
784584-35,22-May,2992,360
784584-35,22-Jun,2994,385
784584-35,22-Jul,2957,256
784584-35,22-Aug,2921,287
784584-35,22-Sep,2890,302
784584-35,22-Oct,2812,309
784584-35,22-Nov,2850,323
784584-35,22-Dec,2902,426
784661-01,21-Feb,759,140
784661-01,21-Mar,756,168
784661-01,21-Apr,751,199
784661-01,21-May,749,165
784661-01,21-Jun,755,221
784661-01,21-Jul,755,135
784661-01,21-Aug,747,137
784661-01,21-Sep,746,143
784661-01,21-Oct,746,187
784661-01,21-Nov,742,169
784661-01,21-Dec,740,197
784661-01,22-Jan,736,123
784661-01,22-Feb,844,124
784661-01,22-Mar,885,215
784661-01,22-Apr,882,164
784661-01,22-May,863,132
784661-01,22-Jun,863,242
784661-01,22-Jul,853,125
784661-01,22-Aug,947,207
784661-01,22-Sep,941,230
784661-01,22-Oct,916,127
784661-01,22-Nov,926,80
784661-01,22-Dec,942,249
785041-01,21-Feb,982,82
785041-01,21-Mar,979,128
785041-01,21-Apr,971,89
785041-01,21-May,967,107
785041-01,21-Jun,976,185
785041-01,21-Jul,976,117
785041-01,21-Aug,965,112
785041-01,21-Sep,964,139
785041-01,21-Oct,1013,174
785041-01,21-Nov,1008,114
785041-01,21-Dec,1006,111
785041-01,22-Jan,1002,119
785041-01,22-Feb,1148,98
785041-01,22-Mar,1147,117
785041-01,22-Apr,1145,141
785041-01,22-May,1116,161
785041-01,22-Jun,1118,149
785041-01,22-Jul,1107,413
785041-01,22-Aug,1189,180
785041-01,22-Sep,1178,107
785041-01,22-Oct,1150,45
785041-01,22-Nov,1161,125
785041-01,22-Dec,1180,211
785064-01,21-Feb,1472,285
785064-01,21-Mar,1468,286
785064-01,21-Apr,1459,246
785064-01,21-May,1454,209
785064-01,21-Jun,1466,262
785064-01,21-Jul,1467,291
785064-01,21-Aug,1450,281
785064-01,21-Sep,1447,292
785064-01,21-Oct,1523,285
785064-01,21-Nov,1513,199
785064-01,21-Dec,1511,331
785064-01,22-Jan,1503,294
785064-01,22-Feb,1723,310
785064-01,22-Mar,1724,280
785064-01,22-Apr,1716,443
785064-01,22-May,1674,303
785064-01,22-Jun,1675,423
785064-01,22-Jul,1660,434
785064-01,22-Aug,1766,378
785064-01,22-Sep,1754,418
785064-01,22-Oct,1708,305
785064-01,22-Nov,1727,287
785064-01,22-Dec,1756,683
785065-01,21-Feb,2130,247
785065-01,21-Mar,2123,239
785065-01,21-Apr,2109,166
785065-01,21-May,2101,598
785065-01,21-Jun,2118,322
785065-01,21-Jul,2121,259
785065-01,21-Aug,2096,234
785065-01,21-Sep,2090,464
785065-01,21-Oct,2198,270
785065-01,21-Nov,2186,526
785065-01,21-Dec,2182,248
785065-01,22-Jan,2171,253
785065-01,22-Feb,2488,219
785065-01,22-Mar,2491,275
785065-01,22-Apr,2477,265
785065-01,22-May,2417,230
785065-01,22-Jun,2419,338
785065-01,22-Jul,2395,355
785065-01,22-Aug,2552,786
785065-01,22-Sep,2534,281
785065-01,22-Oct,2467,238
785065-01,22-Nov,2494,181
785065-01,22-Dec,2538,549
785080-01,21-Feb,50,204
785080-01,21-Mar,50,369
785080-01,21-Apr,50,320
785080-01,21-May,49,421
785080-01,21-Jun,50,772
785080-01,21-Jul,50,324
785080-01,21-Aug,49,400
785080-01,21-Sep,49,643
785080-01,21-Oct,52,518
785080-01,21-Nov,52,739
785080-01,21-Dec,51,268
785080-01,22-Jan,51,334
785080-01,22-Feb,59,351
785080-01,22-Mar,59,276
785080-01,22-Apr,59,277
785080-01,22-Jun,57,662
785080-01,22-Jul,57,367
785080-01,22-Aug,62,473
785080-01,22-Sep,61,277
785080-01,22-Oct,60,166
785080-01,22-Nov,61,337
785080-01,22-Dec,62,314
785184-01,21-Feb,1175,213
785184-01,21-Mar,1172,295
785184-01,21-Apr,1163,301
785184-01,21-May,1159,252
785184-01,21-Jun,1168,482
785184-01,21-Jul,1168,384
785184-01,21-Aug,1156,365
785184-01,21-Sep,1154,343
785184-01,21-Oct,1211,321
785184-01,21-Nov,1206,354
785184-01,21-Dec,1204,324
785184-01,22-Jan,1199,305
785184-01,22-Feb,1373,299
785184-01,22-Mar,1374,311
785184-01,22-Apr,1370,356
785184-01,22-May,1337,271
785184-01,22-Jun,1338,555
785184-01,22-Jul,1325,411
785184-01,22-Aug,1424,312
785184-01,22-Sep,1414,321
785184-01,22-Oct,1376,249
785184-01,22-Nov,1392,295
785184-01,22-Dec,1417,497
785185-01,21-Feb,1702,749
785185-01,21-Mar,1697,209
785185-01,21-Apr,1685,145
785185-01,21-May,1680,221
785185-01,21-Jun,1692,360
785185-01,21-Jul,1692,233
785185-01,21-Aug,1674,217
785185-01,21-Sep,1670,322
785185-01,21-Oct,1755,305
785185-01,21-Nov,1749,325
785185-01,21-Dec,1744,279
785185-01,22-Jan,1738,264
785185-01,22-Feb,1991,237
785185-01,22-Mar,1993,130
785185-01,22-Apr,1986,181
785185-01,22-May,1937,229
785185-01,22-Jun,1936,306
785185-01,22-Jul,1919,247
785185-01,22-Aug,2050,350
785185-01,22-Sep,2036,247
785185-01,22-Oct,1981,204
785185-01,22-Nov,2004,292
785185-01,22-Dec,2039,374
785188-01,21-Feb,2347,74
785188-01,21-Mar,2338,114
785188-01,21-Apr,2323,76
785188-01,21-May,2313,114
785188-01,21-Jun,2334,66
785188-01,21-Jul,2334,215
785188-01,21-Aug,2310,69
785188-01,21-Sep,2306,99
785188-01,21-Oct,2420,100
785188-01,21-Nov,2412,69
785188-01,21-Dec,2406,99
785188-01,22-Jan,2396,88
785188-01,22-Feb,2740,110
785188-01,22-Mar,2740,82
785188-01,22-Apr,2736,75
785188-01,22-May,2672,95
785188-01,22-Jun,2673,172
785188-01,22-Jul,2647,112
785188-01,22-Aug,2847,91
785188-01,22-Sep,2826,349
785188-01,22-Oct,2751,71
785188-01,22-Nov,2779,46
785188-01,22-Dec,2822,94
